"Country","ParticipantName","Address","City","BIC","Readiness Date","Scheme Leaving Date","Scheme Options"
"AUSTRIA","Raiffeisenbank Muerztal eGen","Grazer Strasse 19","Muerzzuschlag","RZSTAT2G186","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Murau eGen","Bundesstraße 5","Murau","RZSTAT2G402","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Mureck eGen","Hauptplatz 8","Mureck","RZSTAT2G370","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Nestelbach-Eggersdorf eGen","Schemerlhoehe 71","Nestelbach","RZSTAT2G252","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Neukirchen an der Voeckla eGen","Neukirchen an der Voeckla 70","Neukirchen an der Voeckla","RZOOAT2L356","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Neusiedlersee-Huegelland eGen","Hauptstrasse 39","Donnerskirchen","RLBBAT2E012","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Neustift-Mieders-Schoenberg im Stubaital reg.Gen.m.b.H.","Dorf 2","Neustift","RZTIAT22285","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Nockberge eGen","Hauptstrasse 41","Radenthein","RZKTAT2K457","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Oberes Innviertel eGen","Siedlungsstrasse 1","Eggelsberg","RZOOAT2L370","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Oberes Lavanttal reg.Gen.m.b.H.","Hauptplatz 18","Bad St.Leonhard","RZKTAT2K491","2009-11-02","",""
"AUSTRIA","RAIFFEISENBANK OBERES WALDVIERTEL eGen","22, HAUPTPLATZ","SCHREMS","RLNWATWWOWS","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Oberland-Reutte eGen","Untermarkt 3","Reutte","RBRTAT22XXX","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Oberpinzgau eGen","Kirchgasse 12","Mittersill","RVSAAT2S039","2010-09-06","",""
"AUSTRIA","Raiffeisenbank Ohlsdorf eGen","Hauptstrasse 22","Ohlsdorf","RZOOAT2L390","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Ossiacher See eG","10.-Oktober-Strasse 2","Bodensdorf/Oss.","RZKTAT2K510","2009-11-02","",""
